date,discharge,smlt,ssrd,e,u10,v10,sp,skt
1995-01-01,215.0,0.0001081999119125,8080257.196483334,-0.0803334026820833,-0.3616422866666666,0.1562954920416666,760.1282179166666,-21.286653479166667
1995-01-02,237.0,0.0001055747148432,7425185.774116666,-0.0674006178291666,-0.1770523255779166,0.2798137614583333,758.57662875,-19.963216
1995-01-03,200.0,0.000124378225237,7612067.115091667,-0.0752392494120833,-0.1128717152958333,0.2323764885416666,760.7540891666666,-19.469160229166665
1995-01-04,200.0,0.0001191583815027,7806738.628308333,-0.077604903335,-0.0838507875416666,0.2716013045,761.9908616666667,-19.79416152083333
1995-01-05,200.0,0.0001140443992623,8208676.2010875,-0.0890729828845833,-0.06415986325,0.4924424908333333,761.6575625,-20.093528754166663
1995-01-06,195.0,6.359241532895833e-05,7447931.032242916,-0.1008656358416666,0.38153869525,0.0627372286041666,762.138665,-18.480930816666667
1995-01-07,195.0,6.229224244244166e-05,7358366.129816666,-0.0875771023041666,-0.1582871365416666,-0.0460961474833333,763.1833841666667,-17.547119720833333
1995-01-08,195.0,3.884274049602917e-05,7430498.6056875,-0.0833813706208333,0.061094880425,-0.0230620221375,761.2175683333334,-17.634920691666668
1995-01-09,195.0,3.517856057708333e-05,7307559.015131667,-0.0762833289279166,-0.205966455,0.1044055172083333,759.1780224999999,-18.883663783333333
1995-01-10,195.0,5.080760061932917e-05,8075094.856575,-0.0734881670579166,-0.134243352,0.2239252197916666,759.9284466666667,-20.483268691666662
1995-01-11,190.0,5.727689297854168e-05,8558974.0730375,-0.0835987789670833,-0.3300217104166666,0.3001519404166666,758.6689554166666,-20.735982875
1995-01-12,190.0,8.819275780885833e-05,7698783.812475,-0.0914441101041666,-0.1017313518904166,0.4184511141666667,756.3507416666666,-18.364536291666667
1995-01-13,157.0,0.000120544936097,7427300.503691667,-0.09159795063125,-0.0710797517916666,0.2716006875,756.2818541666667,-16.9410794125
1995-01-14,170.0,8.5347534918125e-05,7502655.568520833,-0.0843993445779166,0.077227632825,0.1933327005833333,758.5870758333334,-16.608711270833336
1995-01-15,170.0,5.4238840093000005e-05,6998257.8944500005,-0.0878688891654166,0.0502557280666666,0.1836742079583333,759.6478504166666,-15.626492291666668
1995-01-16,195.0,6.931234505914166e-05,7414533.646783333,-0.0867468889341666,-0.0767796047708333,0.2550408220416666,759.8288879166666,-17.115514729166666
1995-01-17,195.0,7.07911678997025e-05,8472314.874954166,-0.0936609797766666,-0.1110824771833333,0.1545401091791666,760.2761449999999,-19.004884066666666
1995-01-18,195.0,8.674398845437917e-05,7860837.647595833,-0.0928314510708333,-0.13063601957,0.1097567564416666,759.0953620833334,-16.5864607375
1995-01-19,199.0,9.113299152e-05,7006355.7258583335,-0.1007430850375,0.0385593153875,0.0303628432083333,758.2184191666666,-14.561321904166666
1995-01-20,193.0,8.602942955458335e-05,8315163.829608333,-0.0984918253266666,0.1354274301458333,0.0472327737624999,758.4854845833333,-17.702811566666664
1995-01-21,195.0,7.614088792479166e-05,8803395.476329166,-0.105830982105125,0.0154886105,-0.0894655291666666,759.3103424999999,-19.751490275
1995-01-22,200.0,6.857387317334166e-05,9530890.411883334,-0.0995698264658333,-0.4182856020833334,-0.1013477407916666,760.9804804166666,-21.495656416666662
1995-01-23,200.0,7.032462124465834e-05,9008488.844783334,-0.08714341606875,-0.0160209098333333,0.25582722875,758.9619354166666,-19.689989166666667
1995-01-24,165.0,9.48632750685e-05,9215302.285783334,-0.1060161733093333,-0.2538458488333333,0.2081542920833333,758.4101108333333,-18.543258575
1995-01-25,167.0,6.755129457650833e-05,8489723.846591666,-0.1047213217283333,-0.0044660965833333,0.38634729,757.3722829166667,-16.826704575
1995-01-26,162.0,9.016052213964168e-05,9017425.66715,-0.11583789514875,-0.039265890125,0.334266635,759.213085,-16.330754583333334
1995-01-27,162.0,0.0001729108121052,8306084.652016667,-0.1192801210708333,-0.1050909562916666,0.3694752491666666,760.6932400000001,-13.250441775
1995-01-28,160.0,0.000143838852855,8358335.158375,-0.1212389651479166,-0.0051846652916666,0.3708523666666667,761.3780379166666,-12.793051958333336
1995-01-29,181.0,0.0001369077136555,9019807.700354166,-0.1345086717354166,0.16843178325,0.16494946425,763.1387237499999,-14.833701470833333
1995-01-30,150.0,0.0001274366565748,10198052.784758331,-0.150762422615,-0.4710901445833333,0.0524066592083333,765.2984137499999,-16.908251449999998
1995-01-31,161.0,0.0001417062755025,10500160.091620833,-0.1410632133441666,-0.2407433461916666,0.23503192125,764.10332125,-17.34006947083333
1995-02-01,166.0,0.0001717306452476,10531038.86825,-0.1424858289441666,-0.257754912625,0.2304961472916666,763.1266620833334,-16.666867579166667
1995-02-02,186.0,0.0001658661168065,10249979.7047375,-0.139433846895,-0.2945416579166667,0.1885942176249999,763.3510329166667,-15.387902608333334
1995-02-03,185.0,0.0001765349485342,10190876.4177375,-0.14893527617625,-0.2253065116666666,0.218074227875,761.7457754166667,-14.236011016666666
1995-02-04,182.0,0.0001575087673201,10103942.649,-0.153845390109,-0.1986910465416666,0.3401664741666666,760.57930125,-13.728318566666667
1995-02-05,171.0,0.0001907529121371,10493301.082683334,-0.1788729914633333,-0.259160235525,0.4337472079166666,760.4151274999999,-13.07533959375
1995-02-06,193.0,0.0002124862206541,8857865.588833334,-0.1648163075041666,-0.0296539377208333,0.3164993436666666,759.4170975000001,-9.856669107083333
1995-02-07,212.0,0.0002033968682804,7524167.6785,-0.1510051199,0.0216115346666666,0.1303438688625,758.9929670833334,-7.184057915833333
1995-02-08,123.0,0.0002485948349851,9586601.506041666,-0.1844164404104167,-0.1030968266374999,0.1810139973291666,758.4348562499999,-7.820687658958334
1995-02-09,161.0,0.0002414261466222,9534065.283208331,-0.1836009829754167,-0.2211570569166666,0.2629846245833333,756.8243775,-7.20657349
1995-02-10,156.0,0.000278394676975,8726763.132416667,-0.1866507033229166,-0.1561624533333333,0.2846722409166666,754.7485141666666,-5.777599383333333
1995-02-11,196.0,0.0002250753532987,8057556.666999999,-0.1692741379395833,0.14021483835,0.4234680383333333,755.4562129166667,-5.640541008333333
1995-02-12,147.0,0.0001956873229,9045859.331916666,-0.2061233301041666,0.3446713127083333,0.3438250020833333,759.2436529166666,-7.059373244333333
1995-02-13,212.0,0.0001427867522137,10547697.866458332,-0.2213247429758333,-0.1907933765208333,0.145496925,759.8190829166666,-9.27357859
1995-02-14,152.0,0.0001057771102325,9577109.912708333,-0.1860322872482083,0.016158767,0.22822439075,757.5111145833333,-9.501581801
1995-02-15,190.0,0.0001188588595362,10680820.4155,-0.2049854832730833,0.0308083791666666,0.1188973277916666,757.8223454166667,-10.534000985875
1995-02-16,159.0,0.0001043171863046,10940902.4405,-0.190089771075625,-0.0185628390125,0.0219315605833333,754.44324625,-10.2207934475
1995-02-17,158.0,6.160007855083334e-05,9370936.558166666,-0.1952258905624999,0.4406470716666666,0.1012115419333333,753.0751620833333,-9.809762258833333
1995-02-18,150.0,4.97125264339875e-05,9588574.818166668,-0.1752957131583333,0.3014401012916666,-0.1416518326666666,755.1753370833334,-11.874899429166668
1995-02-19,121.0,9.243481285707123e-05,11072745.768958334,-0.1678340579916666,0.109149028,-0.1517718991458333,757.2459600000001,-14.249850604166667
1995-02-20,150.0,0.0001052048952159,11561085.405125,-0.1711900567658333,-0.2754887004166667,-0.1515757869166666,759.24636375,-16.035721991666666
1995-02-21,120.0,0.0001708377036583,12484082.09225,-0.1756402485304166,-0.2181185954166666,-0.0781780615833333,758.6245175,-17.11225955833333
1995-02-22,147.0,0.0001858147997211,12456003.997333333,-0.1759689949066666,-0.2347025750833333,-0.0710598985041666,757.9466162499999,-16.258513754166668
1995-02-23,167.0,0.0001833292418998,12577948.107375002,-0.1972736463875,-0.29859845125,0.0669178722083333,758.0191062499999,-15.685772541666667
1995-02-24,100.0,0.0001953499126453,13219335.419249998,-0.2190225547,-0.1838884730833333,0.217102411,757.7268787500001,-15.691803620833332
1995-02-25,80.0,0.0001864186500112,12070963.108333334,-0.1826956989066666,0.0139058199124999,0.1788305828,756.1494841666666,-13.0523408
1995-02-26,80.0,0.0001624731194233,11744496.700833334,-0.2042499829641666,0.0872400095,0.1196373579625,755.6142795833333,-11.04430767125
1995-02-27,128.0,0.0001459855885616,11273967.148041666,-0.2032267898875,-0.0388506230833333,0.0928870559583333,753.8093179166667,-10.651886005833331
1995-02-28,180.0,0.000164739041227,12212369.571666667,-0.2196137740179166,0.0278006485833333,0.1239785625,755.7168654166667,-11.123196234166665
1995-03-01,209.0,0.000174545685736,13085043.1725,-0.2399855332782083,-0.2009334435,0.1732823470416666,758.5999595833333,-11.671753555416666
1995-03-02,193.0,0.0001779793419398,13330075.57421071,-0.2653106539920833,0.0331617552291666,0.2501271585416666,760.7113383333334,-11.433312725833334
1995-03-03,190.0,0.0001639345033647,13651225.91396747,-0.26289279560625,-0.0616367474375,0.0996409085541666,759.99905875,-11.230613120833333
